album_group,album_type,artist_id,artists,external_urls,href,id,image_300,image_64,image_640,name,release_date,release_date_precision,total_tracks,type,uri
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",https://open.spotify.com/album/7Lnn2od0JUFPDM6H9RXPBQ,https://api.spotify.com/v1/albums/7Lnn2od0JUFPDM6H9RXPBQ,7Lnn2od0JUFPDM6H9RXPBQ,https://i.scdn.co/image/8391a495821e85255387895b1097908f00b768b3,https://i.scdn.co/image/9c522df1f7f08ce7b65c9b505aaf35b2ac9a7d9e,https://i.scdn.co/image/61b93caef24cffea5fc330f7e9598e3c00f6d93a,Away from the Current (Piano Version),2018-12-16,day,1.0,album,spotify:album:7Lnn2od0JUFPDM6H9RXPBQ
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",https://open.spotify.com/album/5ekL2fwFPglRj6BvLLU26A,https://api.spotify.com/v1/albums/5ekL2fwFPglRj6BvLLU26A,5ekL2fwFPglRj6BvLLU26A,https://i.scdn.co/image/c0f426a1f59c24737c9ef19dfda02d2bb7889cf7,https://i.scdn.co/image/53cbcae495e1ab18bb4252baa37f3bd1ae4b2f99,https://i.scdn.co/image/a96d2b2c57d0e877e6b5f2f831b5e8d46f7baa6b,Blithe,2018-11-14,day,1.0,album,spotify:album:5ekL2fwFPglRj6BvLLU26A
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7fftBnwbUIMwSHU8lRtuWv'}, 'href': 'https://api.spotify.com/v1/artists/7fftBnwbUIMwSHU8lRtuWv', 'id': '7fftBnwbUIMwSHU8lRtuWv', 'name': 'Raffy Calicdan', 'type': 'artist', 'uri': 'spotify:artist:7fftBnwbUIMwSHU8lRtuWv'}]",https://open.spotify.com/album/5lyZ3Wwa9YW6EFj8tKaxdd,https://api.spotify.com/v1/albums/5lyZ3Wwa9YW6EFj8tKaxdd,5lyZ3Wwa9YW6EFj8tKaxdd,https://i.scdn.co/image/1b5b5d47a81eb6335cf75b33b4acd6bd3e14b75d,https://i.scdn.co/image/2593b548c6a1d910bf8deaffd6aa6c49235f88de,https://i.scdn.co/image/350812640270c9771d4fc9b76012008f7d1bec39,Nakalimutan Ko Nang Kalimutan Ka (Official Movie Soundtrack),2018-08-31,day,2.0,album,spotify:album:5lyZ3Wwa9YW6EFj8tKaxdd
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",https://open.spotify.com/album/6fRKrRev7RcNBXCm326IXw,https://api.spotify.com/v1/albums/6fRKrRev7RcNBXCm326IXw,6fRKrRev7RcNBXCm326IXw,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack),2018-08-01,day,6.0,album,spotify:album:6fRKrRev7RcNBXCm326IXw
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",https://open.spotify.com/album/1Sj39kljA9dzt4Mu9OcuXW,https://api.spotify.com/v1/albums/1Sj39kljA9dzt4Mu9OcuXW,1Sj39kljA9dzt4Mu9OcuXW,https://i.scdn.co/image/a2e25b0a39a51ddf378540dfb60e2e0fa8cd365e,https://i.scdn.co/image/00cc1f35b289128e84a9685068ca55568678c94b,https://i.scdn.co/image/a7ac404972070d0f259647cfea90f7c595510460,Di Bale Na,2018-07-27,day,1.0,album,spotify:album:1Sj39kljA9dzt4Mu9OcuXW
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",https://open.spotify.com/album/2dU3ba3j2ACoDVCJZ2R71j,https://api.spotify.com/v1/albums/2dU3ba3j2ACoDVCJZ2R71j,2dU3ba3j2ACoDVCJZ2R71j,https://i.scdn.co/image/f39a0a3896a58320ea3eec43b36703140568e612,https://i.scdn.co/image/1ca480e0d60ca8154209815baa37c5ba1482d78a,https://i.scdn.co/image/3985d6f0426a76655239f7a397aab71afbefad66,Highway,2017-09-22,day,1.0,album,spotify:album:2dU3ba3j2ACoDVCJZ2R71j
single,single,0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",https://open.spotify.com/album/7B29Ri50mUo61JNbnH8dre,https://api.spotify.com/v1/albums/7B29Ri50mUo61JNbnH8dre,7B29Ri50mUo61JNbnH8dre,https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0,https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad,https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73,Escape,2017-06-30,day,4.0,album,spotify:album:7B29Ri50mUo61JNbnH8dre
album,album,543f0NvGig5Moo9XROTUur,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/543f0NvGig5Moo9XROTUur'}, 'href': 'https://api.spotify.com/v1/artists/543f0NvGig5Moo9XROTUur', 'id': '543f0NvGig5Moo9XROTUur', 'name': 'Ebe Dancel', 'type': 'artist', 'uri': 'spotify:artist:543f0NvGig5Moo9XROTUur'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0DnjaQqb436AH1idffI6CQ'}, 'href': 'https://api.spotify.com/v1/artists/0DnjaQqb436AH1idffI6CQ', 'id': '0DnjaQqb436AH1idffI6CQ', 'name': 'Yeng Constantino', 'type': 'artist', 'uri': 'spotify:artist:0DnjaQqb436AH1idffI6CQ'}]",https://open.spotify.com/album/4acHD3ykZw3DYLcLW1Mqv3,https://api.spotify.com/v1/albums/4acHD3ykZw3DYLcLW1Mqv3,4acHD3ykZw3DYLcLW1Mqv3,https://i.scdn.co/image/dc109b9916948d034aa24517f4573bbd7145312b,https://i.scdn.co/image/a890ba4d60c8aac17451badc4c2dda88877a4dc7,https://i.scdn.co/image/7b4f6d25940e6ca5802d4652a96af5f7ce2f46ff,Bawat Daan,2015-01-01,day,12.0,album,spotify:album:4acHD3ykZw3DYLcLW1Mqv3
album,album,543f0NvGig5Moo9XROTUur,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/543f0NvGig5Moo9XROTUur'}, 'href': 'https://api.spotify.com/v1/artists/543f0NvGig5Moo9XROTUur', 'id': '543f0NvGig5Moo9XROTUur', 'name': 'Ebe Dancel', 'type': 'artist', 'uri': 'spotify:artist:543f0NvGig5Moo9XROTUur'}]",https://open.spotify.com/album/3urjIIJb2URwBH4j4ch6UR,https://api.spotify.com/v1/albums/3urjIIJb2URwBH4j4ch6UR,3urjIIJb2URwBH4j4ch6UR,https://i.scdn.co/image/eee1573a231f6b2020c46f501e5287a2c21871e2,https://i.scdn.co/image/2309b152dd8db2cf8940b622f5c50d25585c2fa1,https://i.scdn.co/image/0b11506ed2b49528f10c304b5dbe19d1bc786f89,Dalawang Mukha ng Pag-ibig,2012-04-16,day,20.0,album,spotify:album:3urjIIJb2URwBH4j4ch6UR
single,single,543f0NvGig5Moo9XROTUur,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/543f0NvGig5Moo9XROTUur'}, 'href': 'https://api.spotify.com/v1/artists/543f0NvGig5Moo9XROTUur', 'id': '543f0NvGig5Moo9XROTUur', 'name': 'Ebe Dancel', 'type': 'artist', 'uri': 'spotify:artist:543f0NvGig5Moo9XROTUur'}]",https://open.spotify.com/album/45OFUqBmGjI6Jsd4KqftiN,https://api.spotify.com/v1/albums/45OFUqBmGjI6Jsd4KqftiN,45OFUqBmGjI6Jsd4KqftiN,https://i.scdn.co/image/24fcac73876549d4ce1bddbbecc6db89e393ea26,https://i.scdn.co/image/bda5986fed38e90eea0f836ce34368325358218c,https://i.scdn.co/image/28da358ec862f7262c31594aa042e5cf3dec5944,"Bayani Ka Ng Mundo (From ""Bagani"")",2018-06-12,day,1.0,album,spotify:album:45OFUqBmGjI6Jsd4KqftiN
