name,external_urls,followers,genres,href,id,artists_image_300,artist_image_64,artist_image_640,images,popularity,type,uri
Keiko Necesario,https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq,38956,folk,https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/ecba128423177fcada6d51665b81ed2befcca9d7,https://i.scdn.co/image/c8f7170e856c44bdd14891821426ca2230a4dcaa,https://i.scdn.co/image/80e50a26969b244bee7fe9e6439abd2b2ef14ae4,"[{'height': 640, 'url': 'https://i.scdn.co/image/80e50a26969b244bee7fe9e6439abd2b2ef14ae4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ecba128423177fcada6d51665b81ed2befcca9d7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c8f7170e856c44bdd14891821426ca2230a4dcaa', 'width': 160}]",50,artist,spotify:artist:0DouUeF604QbSdKYIL3xrq
Ebe Dancel,https://open.spotify.com/artist/543f0NvGig5Moo9XROTUur,61580,rock,https://api.spotify.com/v1/artists/543f0NvGig5Moo9XROTUur,543f0NvGig5Moo9XROTUur,https://i.scdn.co/image/06fdfda8e70713a7f1281d58aa2d8a8541c800cf,https://i.scdn.co/image/cf9ff50a38a9c8f100ec1730f385c96d686e5cdb,https://i.scdn.co/image/0ed48f42c2045e4a1d747932bccdf7019f1c78b5,"[{'height': 1000, 'url': 'https://i.scdn.co/image/0ed48f42c2045e4a1d747932bccdf7019f1c78b5', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/06fdfda8e70713a7f1281d58aa2d8a8541c800cf', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/cf9ff50a38a9c8f100ec1730f385c96d686e5cdb', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/e8135a52690d9672da26556aac1fd7f544a8787d', 'width': 64}]",51,artist,spotify:artist:543f0NvGig5Moo9XROTUur
Sandwich,https://open.spotify.com/artist/6baezjDaGyBqrW8xGqw3a5,141091,rock,https://api.spotify.com/v1/artists/6baezjDaGyBqrW8xGqw3a5,6baezjDaGyBqrW8xGqw3a5,https://i.scdn.co/image/7d60a2d0788911f1342bab1eb64c711b4438c66e,https://i.scdn.co/image/3265365685ac99cc5b974b7f0262f93627f8e17b,https://i.scdn.co/image/42807dc26ed0b5362f4ac33d24a214d8aaef9bb7,"[{'height': 640, 'url': 'https://i.scdn.co/image/42807dc26ed0b5362f4ac33d24a214d8aaef9bb7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7d60a2d0788911f1342bab1eb64c711b4438c66e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/3265365685ac99cc5b974b7f0262f93627f8e17b', 'width': 160}]",42,artist,spotify:artist:6baezjDaGyBqrW8xGqw3a5
Mayonnaise,https://open.spotify.com/artist/7lIVjtsgz0y1oRQFBAVNzq,250894,rock,https://api.spotify.com/v1/artists/7lIVjtsgz0y1oRQFBAVNzq,7lIVjtsgz0y1oRQFBAVNzq,https://i.scdn.co/image/12a6e306ff3c0ccbd846d42a18ba420ada1c65ef,https://i.scdn.co/image/75e3dac1ec6dc9087dbdedbd15f53c85b61c630a,https://i.scdn.co/image/7cee716dcb1541b78da52c24dcac5877d2b577f0,"[{'height': 640, 'url': 'https://i.scdn.co/image/7cee716dcb1541b78da52c24dcac5877d2b577f0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/12a6e306ff3c0ccbd846d42a18ba420ada1c65ef', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/75e3dac1ec6dc9087dbdedbd15f53c85b61c630a', 'width': 160}]",60,artist,spotify:artist:7lIVjtsgz0y1oRQFBAVNzq
Kjwan,https://open.spotify.com/artist/5kUrUkpqUuCYX0eLEhvcQ3,55145,rock,https://api.spotify.com/v1/artists/5kUrUkpqUuCYX0eLEhvcQ3,5kUrUkpqUuCYX0eLEhvcQ3,https://i.scdn.co/image/c1abeff51ad8b2cea7d4ad5f4d3ff9865755808b,https://i.scdn.co/image/77bdcf194e800f3c7e436f58411281498e429207,https://i.scdn.co/image/9f72ddaf1459f8728862a47723dea5f1f0a65eae,"[{'height': 640, 'url': 'https://i.scdn.co/image/9f72ddaf1459f8728862a47723dea5f1f0a65eae', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c1abeff51ad8b2cea7d4ad5f4d3ff9865755808b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/77bdcf194e800f3c7e436f58411281498e429207', 'width': 160}]",37,artist,spotify:artist:5kUrUkpqUuCYX0eLEhvcQ3
Up Dharma Down,https://open.spotify.com/artist/3wbCeEPAW6po7J46netxMT,419221,pop,https://api.spotify.com/v1/artists/3wbCeEPAW6po7J46netxMT,3wbCeEPAW6po7J46netxMT,https://i.scdn.co/image/ddf50b8a5d3f1b486966a247aaac21b2c0353216,https://i.scdn.co/image/31203637233485af1fcf07776ffc47b8b1886087,https://i.scdn.co/image/23c8b8b62ba4931266570a47700e2f3d6aeffbc4,"[{'height': 640, 'url': 'https://i.scdn.co/image/23c8b8b62ba4931266570a47700e2f3d6aeffbc4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ddf50b8a5d3f1b486966a247aaac21b2c0353216', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/31203637233485af1fcf07776ffc47b8b1886087', 'width': 160}]",60,artist,spotify:artist:3wbCeEPAW6po7J46netxMT
Autotelic,https://open.spotify.com/artist/3Hvxz2oZPYuo61ChHKcqQI,106199,pop,https://api.spotify.com/v1/artists/3Hvxz2oZPYuo61ChHKcqQI,3Hvxz2oZPYuo61ChHKcqQI,https://i.scdn.co/image/4e50621c9046728cb3fe3e564144f4c668d4b0f9,https://i.scdn.co/image/5c188075497575fefae67638a3f39cb45d7b4617,https://i.scdn.co/image/0f1872f600bf3b817114f73945cff524689cdd77,"[{'height': 640, 'url': 'https://i.scdn.co/image/0f1872f600bf3b817114f73945cff524689cdd77', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4e50621c9046728cb3fe3e564144f4c668d4b0f9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5c188075497575fefae67638a3f39cb45d7b4617', 'width': 160}]",51,artist,spotify:artist:3Hvxz2oZPYuo61ChHKcqQI
Johnoy Danao,https://open.spotify.com/artist/2zFBNsALb4M2FhKl98wcvd,24167,folk,https://api.spotify.com/v1/artists/2zFBNsALb4M2FhKl98wcvd,2zFBNsALb4M2FhKl98wcvd,https://i.scdn.co/image/7b0a90fde07fed3c4185cf3890e129778af756b9,https://i.scdn.co/image/eb3b10e481c74ad6736002769bd1ca820f95bb68,https://i.scdn.co/image/e54dfd3a084399ab06a0a829c688aa382d33a5df,"[{'height': 640, 'url': 'https://i.scdn.co/image/e54dfd3a084399ab06a0a829c688aa382d33a5df', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7b0a90fde07fed3c4185cf3890e129778af756b9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/eb3b10e481c74ad6736002769bd1ca820f95bb68', 'width': 160}]",47,artist,spotify:artist:2zFBNsALb4M2FhKl98wcvd
Tanya Markova,https://open.spotify.com/artist/6ZwnyHAtqKLBYwRhZePddV,37554,rock,https://api.spotify.com/v1/artists/6ZwnyHAtqKLBYwRhZePddV,6ZwnyHAtqKLBYwRhZePddV,https://i.scdn.co/image/7349a3d08371700c953152c8b78f168555a737ee,https://i.scdn.co/image/029ae2ec97df488b9ef0ee7f7ad4f837471d7c80,https://i.scdn.co/image/236cf2a12c49da5b2c3aed99c5bbd5e0b24980c7,"[{'height': 640, 'url': 'https://i.scdn.co/image/236cf2a12c49da5b2c3aed99c5bbd5e0b24980c7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7349a3d08371700c953152c8b78f168555a737ee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/029ae2ec97df488b9ef0ee7f7ad4f837471d7c80', 'width': 160}]",43,artist,spotify:artist:6ZwnyHAtqKLBYwRhZePddV
syd hartha,https://open.spotify.com/artist/3BQ7MYNeB0wMPtHYPWvu1C,12884,folk,https://api.spotify.com/v1/artists/3BQ7MYNeB0wMPtHYPWvu1C,3BQ7MYNeB0wMPtHYPWvu1C,https://i.scdn.co/image/c25ce235050238319c7f61598aaf2b218f2f87b5,https://i.scdn.co/image/5e65078f17943234fd0ac9d48ec46f93b9b8998e,https://i.scdn.co/image/33d2db95bb1b82b8f407c086faadfa3d6cb39be8,"[{'height': 640, 'url': 'https://i.scdn.co/image/33d2db95bb1b82b8f407c086faadfa3d6cb39be8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/c25ce235050238319c7f61598aaf2b218f2f87b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/5e65078f17943234fd0ac9d48ec46f93b9b8998e', 'width': 160}]",42,artist,spotify:artist:3BQ7MYNeB0wMPtHYPWvu1C
