acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.936,https://api.spotify.com/v1/audio-analysis/3kFDnFj6asUJsUPodsWT2o,0.534,286159.0,0.178,3kFDnFj6asUJsUPodsWT2o,0.0,9.0,0.0685,-11.953,1.0,0.0341,94.948,3.0,https://api.spotify.com/v1/tracks/3kFDnFj6asUJsUPodsWT2o,audio_features,spotify:track:3kFDnFj6asUJsUPodsWT2o,0.3
0.229,https://api.spotify.com/v1/audio-analysis/1I4FVXxMHTy07BvPO1mVjA,0.515,276625.0,0.529,1I4FVXxMHTy07BvPO1mVjA,7.72e-05,2.0,0.0991,-9.493,0.0,0.0466,127.424,4.0,https://api.spotify.com/v1/tracks/1I4FVXxMHTy07BvPO1mVjA,audio_features,spotify:track:1I4FVXxMHTy07BvPO1mVjA,0.181
0.92,https://api.spotify.com/v1/audio-analysis/2IFNR24j14O8IuqLxFr0NT,0.584,315556.0,0.186,2IFNR24j14O8IuqLxFr0NT,0.0,10.0,0.113,-9.272,1.0,0.0422,107.885,4.0,https://api.spotify.com/v1/tracks/2IFNR24j14O8IuqLxFr0NT,audio_features,spotify:track:2IFNR24j14O8IuqLxFr0NT,0.238
0.964,https://api.spotify.com/v1/audio-analysis/4FrzR2A8kmSKB87Nx2oZjR,0.508,225000.0,0.252,4FrzR2A8kmSKB87Nx2oZjR,1.04e-06,9.0,0.125,-7.917,1.0,0.0274,140.185,4.0,https://api.spotify.com/v1/tracks/4FrzR2A8kmSKB87Nx2oZjR,audio_features,spotify:track:4FrzR2A8kmSKB87Nx2oZjR,0.251
0.0341,https://api.spotify.com/v1/audio-analysis/6FZy7eAFZq5bavNYfRGH3r,0.813,231207.0,0.596,6FZy7eAFZq5bavNYfRGH3r,7.66e-06,2.0,0.0938,-7.322,1.0,0.0487,116.067,4.0,https://api.spotify.com/v1/tracks/6FZy7eAFZq5bavNYfRGH3r,audio_features,spotify:track:6FZy7eAFZq5bavNYfRGH3r,0.706
0.174,https://api.spotify.com/v1/audio-analysis/2vqAmth0yZZbBxwmVdE9V2,0.686,169000.0,0.674,2vqAmth0yZZbBxwmVdE9V2,2.55e-05,3.0,0.308,-6.303,1.0,0.0248,110.965,4.0,https://api.spotify.com/v1/tracks/2vqAmth0yZZbBxwmVdE9V2,audio_features,spotify:track:2vqAmth0yZZbBxwmVdE9V2,0.664
0.839,https://api.spotify.com/v1/audio-analysis/39fNON9tzWSkuLbpGAHJnD,0.331,261935.0,0.15,39fNON9tzWSkuLbpGAHJnD,6.63e-06,1.0,0.144,-14.474,1.0,0.0338,124.085,4.0,https://api.spotify.com/v1/tracks/39fNON9tzWSkuLbpGAHJnD,audio_features,spotify:track:39fNON9tzWSkuLbpGAHJnD,0.188
0.876,https://api.spotify.com/v1/audio-analysis/23GURsZ8hfMKVjUpm16IMq,0.423,243500.0,0.208,23GURsZ8hfMKVjUpm16IMq,1.56e-05,2.0,0.117,-12.925,1.0,0.0362,138.778,4.0,https://api.spotify.com/v1/tracks/23GURsZ8hfMKVjUpm16IMq,audio_features,spotify:track:23GURsZ8hfMKVjUpm16IMq,0.234
0.465,https://api.spotify.com/v1/audio-analysis/0JMTt9ItqHMoiwyp1qyTgl,0.5,270698.0,0.55,0JMTt9ItqHMoiwyp1qyTgl,0.000539,0.0,0.107,-8.529,1.0,0.044,171.966,4.0,https://api.spotify.com/v1/tracks/0JMTt9ItqHMoiwyp1qyTgl,audio_features,spotify:track:0JMTt9ItqHMoiwyp1qyTgl,0.287
0.893,https://api.spotify.com/v1/audio-analysis/06AxnsCACcLbrkVVCA6UCv,0.415,268382.0,0.107,06AxnsCACcLbrkVVCA6UCv,0.0,9.0,0.116,-12.278,1.0,0.0398,125.344,4.0,https://api.spotify.com/v1/tracks/06AxnsCACcLbrkVVCA6UCv,audio_features,spotify:track:06AxnsCACcLbrkVVCA6UCv,0.27
0.482,https://api.spotify.com/v1/audio-analysis/6b5pWdPQy9i85vBZR3pl2T,0.502,270698.0,0.551,6b5pWdPQy9i85vBZR3pl2T,0.000267,0.0,0.104,-8.494,1.0,0.0422,171.988,4.0,https://api.spotify.com/v1/tracks/6b5pWdPQy9i85vBZR3pl2T,audio_features,spotify:track:6b5pWdPQy9i85vBZR3pl2T,0.291
