album,artist_id,artists,disc_number,duration_ms,explicit,external_url,href,id,image_300,image_64,image_640,is_local,is_playable,name,popularity,preview_url,track_number,uri
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7fftBnwbUIMwSHU8lRtuWv'}, 'href': 'https://api.spotify.com/v1/artists/7fftBnwbUIMwSHU8lRtuWv', 'id': '7fftBnwbUIMwSHU8lRtuWv', 'name': 'Raffy Calicdan', 'type': 'artist', 'uri': 'spotify:artist:7fftBnwbUIMwSHU8lRtuWv'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5lyZ3Wwa9YW6EFj8tKaxdd'}, 'href': 'https://api.spotify.com/v1/albums/5lyZ3Wwa9YW6EFj8tKaxdd', 'id': '5lyZ3Wwa9YW6EFj8tKaxdd', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/350812640270c9771d4fc9b76012008f7d1bec39', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/1b5b5d47a81eb6335cf75b33b4acd6bd3e14b75d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/2593b548c6a1d910bf8deaffd6aa6c49235f88de', 'width': 64}], 'name': 'Nakalimutan Ko Nang Kalimutan Ka (Official Movie Soundtrack)', 'release_date': '2018-08-31', 'release_date_precision': 'day', 'total_tracks': 2, 'type': 'album', 'uri': 'spotify:album:5lyZ3Wwa9YW6EFj8tKaxdd'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,315555.0,0.0,https://open.spotify.com/track/2IFNR24j14O8IuqLxFr0NT,https://api.spotify.com/v1/tracks/2IFNR24j14O8IuqLxFr0NT,2IFNR24j14O8IuqLxFr0NT,https://i.scdn.co/image/1b5b5d47a81eb6335cf75b33b4acd6bd3e14b75d,https://i.scdn.co/image/2593b548c6a1d910bf8deaffd6aa6c49235f88de,https://i.scdn.co/image/350812640270c9771d4fc9b76012008f7d1bec39,0.0,1.0,Let Me Be The One,55.0,https://p.scdn.co/mp3-preview/8833ef64db06f50e9d60e341499a320fbf7385da?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,spotify:track:2IFNR24j14O8IuqLxFr0NT
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7JKhoS6YPbRDsj9qiMbMa9'}, 'href': 'https://api.spotify.com/v1/artists/7JKhoS6YPbRDsj9qiMbMa9', 'id': '7JKhoS6YPbRDsj9qiMbMa9', 'name': 'Keiko', 'type': 'artist', 'uri': 'spotify:artist:7JKhoS6YPbRDsj9qiMbMa9'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/64JI8PYKmZCkBD2miayyPO'}, 'href': 'https://api.spotify.com/v1/albums/64JI8PYKmZCkBD2miayyPO', 'id': '64JI8PYKmZCkBD2miayyPO', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/488a65ad6d74a9d09e4c5fe7ce05008169241758', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/daf43c5fe496a92b63ade9d764dc47194a08e052', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/3bc13ff5ba2770044354f75d214aaf61843f2d10', 'width': 64}], 'name': 'Through It All', 'release_date': '2015-12-24', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:64JI8PYKmZCkBD2miayyPO'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2PE8vawrO19hZwdqiovvv0'}, 'href': 'https://api.spotify.com/v1/artists/2PE8vawrO19hZwdqiovvv0', 'id': '2PE8vawrO19hZwdqiovvv0', 'name': 'Kim Trinidad', 'type': 'artist', 'uri': 'spotify:artist:2PE8vawrO19hZwdqiovvv0'}]",1.0,251402.0,0.0,https://open.spotify.com/track/1LconAoXORZMqI0cAlaWSD,https://api.spotify.com/v1/tracks/1LconAoXORZMqI0cAlaWSD,1LconAoXORZMqI0cAlaWSD,https://i.scdn.co/image/daf43c5fe496a92b63ade9d764dc47194a08e052,https://i.scdn.co/image/3bc13ff5ba2770044354f75d214aaf61843f2d10,https://i.scdn.co/image/488a65ad6d74a9d09e4c5fe7ce05008169241758,0.0,1.0,Away From The Current,44.0,https://p.scdn.co/mp3-preview/0565745a935910d475ebbffa6a2ff277c11fb314?cid=3b33859d46fe4fd1a085151a8fefa86d,6.0,spotify:track:1LconAoXORZMqI0cAlaWSD
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6fRKrRev7RcNBXCm326IXw'}, 'href': 'https://api.spotify.com/v1/albums/6fRKrRev7RcNBXCm326IXw', 'id': '6fRKrRev7RcNBXCm326IXw', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b', 'width': 64}], 'name': 'Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack)', 'release_date': '2018-08-01', 'release_date_precision': 'day', 'total_tracks': 6, 'type': 'album', 'uri': 'spotify:album:6fRKrRev7RcNBXCm326IXw'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,169000.0,0.0,https://open.spotify.com/track/2vqAmth0yZZbBxwmVdE9V2,https://api.spotify.com/v1/tracks/2vqAmth0yZZbBxwmVdE9V2,2vqAmth0yZZbBxwmVdE9V2,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,0.0,1.0,Panaginip,39.0,https://p.scdn.co/mp3-preview/f4ec898a5de17d317e29be1169624591b6708d1e?cid=3b33859d46fe4fd1a085151a8fefa86d,2.0,spotify:track:2vqAmth0yZZbBxwmVdE9V2
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1Sj39kljA9dzt4Mu9OcuXW'}, 'href': 'https://api.spotify.com/v1/albums/1Sj39kljA9dzt4Mu9OcuXW', 'id': '1Sj39kljA9dzt4Mu9OcuXW', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/a7ac404972070d0f259647cfea90f7c595510460', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/a2e25b0a39a51ddf378540dfb60e2e0fa8cd365e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/00cc1f35b289128e84a9685068ca55568678c94b', 'width': 64}], 'name': 'Di Bale Na', 'release_date': '2018-07-27', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:1Sj39kljA9dzt4Mu9OcuXW'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,270697.0,0.0,https://open.spotify.com/track/6b5pWdPQy9i85vBZR3pl2T,https://api.spotify.com/v1/tracks/6b5pWdPQy9i85vBZR3pl2T,6b5pWdPQy9i85vBZR3pl2T,https://i.scdn.co/image/a2e25b0a39a51ddf378540dfb60e2e0fa8cd365e,https://i.scdn.co/image/00cc1f35b289128e84a9685068ca55568678c94b,https://i.scdn.co/image/a7ac404972070d0f259647cfea90f7c595510460,0.0,1.0,Di Bale Na,37.0,https://p.scdn.co/mp3-preview/ff62e4ee99ce31af1ebc5df36ff2df1a2e6178c5?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,spotify:track:6b5pWdPQy9i85vBZR3pl2T
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7JKhoS6YPbRDsj9qiMbMa9'}, 'href': 'https://api.spotify.com/v1/artists/7JKhoS6YPbRDsj9qiMbMa9', 'id': '7JKhoS6YPbRDsj9qiMbMa9', 'name': 'Keiko', 'type': 'artist', 'uri': 'spotify:artist:7JKhoS6YPbRDsj9qiMbMa9'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/64JI8PYKmZCkBD2miayyPO'}, 'href': 'https://api.spotify.com/v1/albums/64JI8PYKmZCkBD2miayyPO', 'id': '64JI8PYKmZCkBD2miayyPO', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/488a65ad6d74a9d09e4c5fe7ce05008169241758', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/daf43c5fe496a92b63ade9d764dc47194a08e052', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/3bc13ff5ba2770044354f75d214aaf61843f2d10', 'width': 64}], 'name': 'Through It All', 'release_date': '2015-12-24', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:64JI8PYKmZCkBD2miayyPO'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4E08uMpU8Wr4GMaIiAgMHz'}, 'href': 'https://api.spotify.com/v1/artists/4E08uMpU8Wr4GMaIiAgMHz', 'id': '4E08uMpU8Wr4GMaIiAgMHz', 'name': 'Luis Cortez', 'type': 'artist', 'uri': 'spotify:artist:4E08uMpU8Wr4GMaIiAgMHz'}]",1.0,265952.0,0.0,https://open.spotify.com/track/5mxKeaEKbNDv3iDdpzqKOn,https://api.spotify.com/v1/tracks/5mxKeaEKbNDv3iDdpzqKOn,5mxKeaEKbNDv3iDdpzqKOn,https://i.scdn.co/image/daf43c5fe496a92b63ade9d764dc47194a08e052,https://i.scdn.co/image/3bc13ff5ba2770044354f75d214aaf61843f2d10,https://i.scdn.co/image/488a65ad6d74a9d09e4c5fe7ce05008169241758,0.0,1.0,Dito Ka Lang,33.0,https://p.scdn.co/mp3-preview/2ec31b8039cdebf8067bac239131e67b8ac6beb6?cid=3b33859d46fe4fd1a085151a8fefa86d,8.0,spotify:track:5mxKeaEKbNDv3iDdpzqKOn
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/7B29Ri50mUo61JNbnH8dre'}, 'href': 'https://api.spotify.com/v1/albums/7B29Ri50mUo61JNbnH8dre', 'id': '7B29Ri50mUo61JNbnH8dre', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad', 'width': 64}], 'name': 'Escape', 'release_date': '2017-06-30', 'release_date_precision': 'day', 'total_tracks': 4, 'type': 'album', 'uri': 'spotify:album:7B29Ri50mUo61JNbnH8dre'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,301621.0,0.0,https://open.spotify.com/track/6KCKbh4PXZGP7Rykg2v6gj,https://api.spotify.com/v1/tracks/6KCKbh4PXZGP7Rykg2v6gj,6KCKbh4PXZGP7Rykg2v6gj,https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0,https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad,https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73,0.0,1.0,Escape,32.0,https://p.scdn.co/mp3-preview/af3def5aa54572f1c3e80a7e7f100d5480eb7585?cid=3b33859d46fe4fd1a085151a8fefa86d,3.0,spotify:track:6KCKbh4PXZGP7Rykg2v6gj
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7JKhoS6YPbRDsj9qiMbMa9'}, 'href': 'https://api.spotify.com/v1/artists/7JKhoS6YPbRDsj9qiMbMa9', 'id': '7JKhoS6YPbRDsj9qiMbMa9', 'name': 'Keiko', 'type': 'artist', 'uri': 'spotify:artist:7JKhoS6YPbRDsj9qiMbMa9'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/64JI8PYKmZCkBD2miayyPO'}, 'href': 'https://api.spotify.com/v1/albums/64JI8PYKmZCkBD2miayyPO', 'id': '64JI8PYKmZCkBD2miayyPO', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/488a65ad6d74a9d09e4c5fe7ce05008169241758', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/daf43c5fe496a92b63ade9d764dc47194a08e052', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/3bc13ff5ba2770044354f75d214aaf61843f2d10', 'width': 64}], 'name': 'Through It All', 'release_date': '2015-12-24', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:64JI8PYKmZCkBD2miayyPO'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,246595.0,0.0,https://open.spotify.com/track/6nIT4ZJW8nqIqkCYQw64fo,https://api.spotify.com/v1/tracks/6nIT4ZJW8nqIqkCYQw64fo,6nIT4ZJW8nqIqkCYQw64fo,https://i.scdn.co/image/daf43c5fe496a92b63ade9d764dc47194a08e052,https://i.scdn.co/image/3bc13ff5ba2770044354f75d214aaf61843f2d10,https://i.scdn.co/image/488a65ad6d74a9d09e4c5fe7ce05008169241758,0.0,1.0,Forever Alive,31.0,https://p.scdn.co/mp3-preview/4d4688d28c0885d55bda45f550b2be58cede894f?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,spotify:track:6nIT4ZJW8nqIqkCYQw64fo
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/7Lnn2od0JUFPDM6H9RXPBQ'}, 'href': 'https://api.spotify.com/v1/albums/7Lnn2od0JUFPDM6H9RXPBQ', 'id': '7Lnn2od0JUFPDM6H9RXPBQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/61b93caef24cffea5fc330f7e9598e3c00f6d93a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/8391a495821e85255387895b1097908f00b768b3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/9c522df1f7f08ce7b65c9b505aaf35b2ac9a7d9e', 'width': 64}], 'name': 'Away from the Current (Piano Version)', 'release_date': '2018-12-16', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:7Lnn2od0JUFPDM6H9RXPBQ'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,286159.0,0.0,https://open.spotify.com/track/3kFDnFj6asUJsUPodsWT2o,https://api.spotify.com/v1/tracks/3kFDnFj6asUJsUPodsWT2o,3kFDnFj6asUJsUPodsWT2o,https://i.scdn.co/image/8391a495821e85255387895b1097908f00b768b3,https://i.scdn.co/image/9c522df1f7f08ce7b65c9b505aaf35b2ac9a7d9e,https://i.scdn.co/image/61b93caef24cffea5fc330f7e9598e3c00f6d93a,0.0,1.0,Away from the Current (Piano Version),28.0,https://p.scdn.co/mp3-preview/53df8d0ca25774ac6f32656c731203c5b79ae4dc?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,spotify:track:3kFDnFj6asUJsUPodsWT2o
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/7B29Ri50mUo61JNbnH8dre'}, 'href': 'https://api.spotify.com/v1/albums/7B29Ri50mUo61JNbnH8dre', 'id': '7B29Ri50mUo61JNbnH8dre', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad', 'width': 64}], 'name': 'Escape', 'release_date': '2017-06-30', 'release_date_precision': 'day', 'total_tracks': 4, 'type': 'album', 'uri': 'spotify:album:7B29Ri50mUo61JNbnH8dre'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4N7VMCvYd9Reh5bJLnRVzY'}, 'href': 'https://api.spotify.com/v1/artists/4N7VMCvYd9Reh5bJLnRVzY', 'id': '4N7VMCvYd9Reh5bJLnRVzY', 'name': 'Quest', 'type': 'artist', 'uri': 'spotify:artist:4N7VMCvYd9Reh5bJLnRVzY'}]",1.0,231206.0,0.0,https://open.spotify.com/track/54Xd504CFfd9jWTcpNPg2U,https://api.spotify.com/v1/tracks/54Xd504CFfd9jWTcpNPg2U,54Xd504CFfd9jWTcpNPg2U,https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0,https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad,https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73,0.0,1.0,While We Are Young,28.0,https://p.scdn.co/mp3-preview/4334e7291f2d51d3bfd2d8bc07104c08f24c7e7c?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,spotify:track:54Xd504CFfd9jWTcpNPg2U
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6fRKrRev7RcNBXCm326IXw'}, 'href': 'https://api.spotify.com/v1/albums/6fRKrRev7RcNBXCm326IXw', 'id': '6fRKrRev7RcNBXCm326IXw', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b', 'width': 64}], 'name': 'Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack)', 'release_date': '2018-08-01', 'release_date_precision': 'day', 'total_tracks': 6, 'type': 'album', 'uri': 'spotify:album:6fRKrRev7RcNBXCm326IXw'}",0DouUeF604QbSdKYIL3xrq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0DouUeF604QbSdKYIL3xrq'}, 'href': 'https://api.spotify.com/v1/artists/0DouUeF604QbSdKYIL3xrq', 'id': '0DouUeF604QbSdKYIL3xrq', 'name': 'Keiko Necesario', 'type': 'artist', 'uri': 'spotify:artist:0DouUeF604QbSdKYIL3xrq'}]",1.0,268382.0,0.0,https://open.spotify.com/track/06AxnsCACcLbrkVVCA6UCv,https://api.spotify.com/v1/tracks/06AxnsCACcLbrkVVCA6UCv,06AxnsCACcLbrkVVCA6UCv,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,0.0,1.0,Paano Na?,24.0,https://p.scdn.co/mp3-preview/27a622e37ce12c194bedce3de66a6dfb92a0bdd4?cid=3b33859d46fe4fd1a085151a8fefa86d,6.0,spotify:track:06AxnsCACcLbrkVVCA6UCv
